,q1,q2
794,Belirli sıralama yapmış öğrencilere özel burs sağlanıyor mu ?,Üniversite giriş sınavından yüksek başarı elde edenlere özel burs veriyor musunuz ?
795,Üniversiteniz de tercih sırası indirimi var mı ?,Üniversitenizi ilk sıraya yazarsam burs veriyor musunuz ?
796,Üniversiteniz de tercih sırası indirimi var mı ?,Bilgi üniversitenizi tercihlerimde en üste yazarsam burs veriyor musunuz ?
797,Üniversitenizi ilk sıraya yazarsam burs veriyor musunuz ?,Bilgi üniversitenizi tercihlerimde en üste yazarsam burs veriyor musunuz ?
798,Üniversiteniz de sporcu bursu var mı,Üniversiteniz de sporculara burs veriyor musunuz ?
799,Üniversiteniz de sporcu bursu var mı,Sporcu bursu imkanı var mı ?
800,Üniversiteniz de sporculara burs veriyor musunuz ?,Sporcu bursu imkanı var mı ?
801,Yurtlar nerede bulunmakta ?,Yurtlar hangi kampüste yer alıyor?
802,Yurtlar nerede bulunmakta ?,Yurtlar okulun içinde mi yer alıyor ?
803,Yurtlar hangi kampüste yer alıyor?,Yurtlar okulun içinde mi yer alıyor ?
804,Üniversitenizin diploması yurt dışında geçerli mi?,Üniversitenin diploması mavi diploma mı ?
805,Üniversitenizin diploması yurt dışında geçerli mi?,Okuldan mezun olduktan sonra yurt dışında diplomamı kullanabilir miyim ?
806,Üniversitenin diploması mavi diploma mı ?,Okuldan mezun olduktan sonra yurt dışında diplomamı kullanabilir miyim ?
807,Yüksek Lisans Programı hakkında nereden bilgi alabilirim ?,Yüksek lisans için departmanınız var mı ?
808,Yüksek Lisans Programı hakkında nereden bilgi alabilirim ?,Yüksek lisans hakkında bilgi almak istiyorum nereden bulabilirim ?
809,Yüksek lisans için departmanınız var mı ?,Yüksek lisans hakkında bilgi almak istiyorum nereden bulabilirim ?
810,Üniversiteniz de engellilerin destek alabileceği birim var mı ?,Üniversiteniz de engelliler için birim mevcut mu ?
811,Üniversiteniz de engellilerin destek alabileceği birim var mı ?,Engelliler için özel bi departmanınız var mı ?
812,Üniversiteniz de engelliler için birim mevcut mu ?,Engelliler için özel bi departmanınız var mı ?
813,Ders geçme başarı puanı kaç ?,Dersten geçme sınırı nedir ?
814,Ders geçme başarı puanı kaç ?,Derslerde taban puan nedir ?
815,Dersten geçme sınırı nedir ?,Derslerde taban puan nedir ?
816,Ders seçimlerimde maksimum kaç kredi seçebilirim?,Bir dönemde en fazla kaç kredi alabilirim ?
817,Ders seçimlerimde maksimum kaç kredi seçebilirim?,Bir yılda en fazla kaç kredi alabilirim ?
818,Bir dönemde en fazla kaç kredi alabilirim ?,Bir yılda en fazla kaç kredi alabilirim ?
819,Üniversiteniz de whatsapp destek hattı var mı?,Whatsapp destek hattınının numarasını öğrenebilir miyim ?
820,Üniversiteniz de whatsapp destek hattı var mı?,Whatsapp destek hattında hangi konularda destek verilmektedir ?
821,Whatsapp destek hattınının numarasını öğrenebilir miyim ?,Whatsapp destek hattında hangi konularda destek verilmektedir ?
822,Danışmanıma hangi konularda danışabilirim ?,Danışmanım ile hangi konuları görüşebilirim?
823,Danışmanıma hangi konularda danışabilirim ?,Danışmanıma ne tarz sorular sorabilirim ?
824,Danışmanım ile hangi konuları görüşebilirim?,Danışmanıma ne tarz sorular sorabilirim ?
825,Danışmanımın ofisini nereden öğrenebilirim ?,Danışmanım hakkında bilgi almak istiyorum nereden bulabilirim ?
826,Danışmanımın ofisini nereden öğrenebilirim ?,Danışmanımın odasını bulamıyorum nereden öğrenebilirim ?
827,Danışmanım hakkında bilgi almak istiyorum nereden bulabilirim ?,Danışmanımın odasını bulamıyorum nereden öğrenebilirim ?
828,Ders seçimi yaparken nelere dikkat etmeliyim ?,Ders seçimi nasıl yapılıyor ?
829,Ders seçimi yaparken nelere dikkat etmeliyim ?,Ders seçimi nedir ?
830,Ders seçimi nasıl yapılıyor ?,Ders seçimi nedir ?
831,Ders seçimi için rezervasyon yapmam gerekiyor mu ?,Ders seçimi saatimi nereden belirleyebilirim?
832,Ders seçimi için rezervasyon yapmam gerekiyor mu ?,Ders seçimi saatlerini nereden öğrenebilirim?
833,Ders seçimi saatimi nereden belirleyebilirim?,Ders seçimi saatlerini nereden öğrenebilirim?
834,Üst yıldan ders alabilirmiyim ?,üst yıllardan ders almanın şartları nelerdir?
835,Üst yıldan ders alabilirmiyim ?,Üst yıllardan ders almak istiyorum koşulları nelerdir ?
836,üst yıllardan ders almanın şartları nelerdir?,Üst yıllardan ders almak istiyorum koşulları nelerdir ?
837,Üniversitenizin ödeme koşulları nelerdir?,Üniversitenizde hangi ödeme koşulları var ?
838,Üniversitenizin ödeme koşulları nelerdir?,Hangi ödeme koşullarıyla üniversite ücretini ödeyebilirim ?
839,Üniversitenizde hangi ödeme koşulları var ?,Hangi ödeme koşullarıyla üniversite ücretini ödeyebilirim ?
840,Üniversitenizin yurt dışından öğrenci kabul koşulları kontenjanları ve ücretleri nelerdir?,Bilginin yabancı ügrenci kabul şartları nelerdir ?
841,Üniversitenizin yurt dışından öğrenci kabul koşulları kontenjanları ve ücretleri nelerdir?,Yabancı öğrenci alım şartları nelerdir ?
842,Bilginin yabancı ügrenci kabul şartları nelerdir ?,Yabancı öğrenci alım şartları nelerdir ?
843,Üniversiteniz de ders transfer koşulları nelerdir ?,Ders transfer şartları nelerdir ?
844,Üniversiteniz de ders transfer koşulları nelerdir ?,Ders transferi yapmanın şartları nedir ?
845,Ders transfer şartları nelerdir ?,Ders transferi yapmanın şartları nedir ?
846,Üniversitenizde mezuniyet işlemleri nasıl yürütülmektedir?,Mezuniyet süreci nasıl ilerlemektedir ?
847,Üniversitenizde mezuniyet işlemleri nasıl yürütülmektedir?,Mezuniyet işlemleri nasıl ilerliyor ?
848,Mezuniyet süreci nasıl ilerlemektedir ?,Mezuniyet işlemleri nasıl ilerliyor ?
849,Üniversitenize eksik evrak ile kayıt yaptırabilir miyim ?,Evraklarım eksik kayıt yaptırabilir miyim ?
850,Üniversitenize eksik evrak ile kayıt yaptırabilir miyim ?,Eksik evtaklarım var kayıt işlemlerimi yapabilir miyim ?
851,Evraklarım eksik kayıt yaptırabilir miyim ?,Eksik evtaklarım var kayıt işlemlerimi yapabilir miyim ?
852,Ders saydırma işlemleri nasıl yapılmaktadır ?,Ders saydırma işlemlerini nasıl yapabilirim ?
853,Ders saydırma işlemleri nasıl yapılmaktadır ?,Ders sayma işlemi nedir nasıl yapılabilir ?
854,Ders saydırma işlemlerini nasıl yapabilirim ?,Ders sayma işlemi nedir nasıl yapılabilir ?
855,Ders ekleme bırakma tarihini kaçırdım ne yapabilirim ?,Ders ekleme bırakma sürecini kaçırdım ne yapabilirim ?
856,Ders ekleme bırakma tarihini kaçırdım ne yapabilirim ?,Ders ekleme bırakma işlemlerinin süresini geçirdim yapabilir miyim ?
857,Ders ekleme bırakma sürecini kaçırdım ne yapabilirim ?,Ders ekleme bırakma işlemlerinin süresini geçirdim yapabilir miyim ?
858,Ana dal yan dal çift anadal programlarında ders sayma işlemi nasıl oluyor ?,Ana dal yan dal çift anadal Ders sayma işlemleri nasıl oluyıor ?
859,Ana dal yan dal çift anadal programlarında ders sayma işlemi nasıl oluyor ?,Ders sayma işlemlerimi Ana dal yan dal çift anadal programında nasıl yapabilirim ?
860,Ana dal yan dal çift anadal Ders sayma işlemleri nasıl oluyıor ?,Ders sayma işlemlerimi Ana dal yan dal çift anadal programında nasıl yapabilirim ?
861,Kayıt tamamlandıktan sonra section değişikliği nasıl yapılmaktadır ?,Section değişikliğini kayıttan sonra yapabilir miyim ?
862,Kayıt tamamlandıktan sonra section değişikliği nasıl yapılmaktadır ?,Kayıt yaptıktan sonra section değiştirebilir miyim ?
863,Section değişikliğini kayıttan sonra yapabilir miyim ?,Kayıt yaptıktan sonra section değiştirebilir miyim ?
864,Dersten çekilme işlemleri nasıl yapılır ?,Dersten çekilmek istiyorum nasıl yapabilirim ?
865,Dersten çekilme işlemleri nasıl yapılır ?,Dersten çekilme işlemleri nasıl oluyor ?
866,Dersten çekilmek istiyorum nasıl yapabilirim ?,Dersten çekilme işlemleri nasıl oluyor ?
867,Program dışı dersi tekrar almak zorunlu mudur ?,Program dışı seçmeli ders aldım tekrar almak zorundamıyım ?
868,Program dışı dersi tekrar almak zorunlu mudur ?,Program dışı dersim vardı tekrar almam gerekiyor mu ?
869,Program dışı seçmeli ders aldım tekrar almak zorundamıyım ?,Program dışı dersim vardı tekrar almam gerekiyor mu ?
870,Hangi durumlarda bütünleme sınavlarına girilemez ?,Bütünleme sınavına giremiyorum neden ?
871,Hangi durumlarda bütünleme sınavlarına girilemez ?,Bütünleme sınavına girme şartı nedir?
872,Bütünleme sınavına giremiyorum neden ?,Bütünleme sınavına girme şartı nedir?
873,Staj işlemleri staj sigortası hakkında detaylı bilgiyi nereden alabilirim ?,Staj sigortası ve staj işlemlerini nereden öğrenebilirim ?
874,Staj işlemleri staj sigortası hakkında detaylı bilgiyi nereden alabilirim ?,Staj departmanı ile nasıl görüşebilirim ?
875,Staj sigortası ve staj işlemlerini nereden öğrenebilirim ?,Staj departmanı ile nasıl görüşebilirim ?
876,Mezun durumunda dönemlik ders yükü aşılabilir mi ?,Mezun durumundayım fazladan ders alabilir miyim ?
877,Mezun durumunda dönemlik ders yükü aşılabilir mi ?,Son senemi okuyorum fazladan ders alabilir miyim ?
878,Mezun durumundayım fazladan ders alabilir miyim ?,Son senemi okuyorum fazladan ders alabilir miyim ?
879,Online olarak öğrenci belgesi transkript alınabilir mi ?,Online olarak öğrenci belgesini isteyebilir miyim ?
880,Online olarak öğrenci belgesi transkript alınabilir mi ?,Okula gitmeden öğrenci belgemi alabilir miyim ?
881,Online olarak öğrenci belgesini isteyebilir miyim ?,Okula gitmeden öğrenci belgemi alabilir miyim ?
882,Bölümde kaçıncı olduğumu nasıl öğrenebilirim ?,Bölümde ki başarı sıramı öğrenebilir miyim ?
883,Bölümde kaçıncı olduğumu nasıl öğrenebilirim ?,Başarı sıra mı nasıl öğrenirim ?
884,Bölümde ki başarı sıramı öğrenebilir miyim ?,Başarı sıra mı nasıl öğrenirim ?
885,ikinci kez diploma eki alınabilir mi ?,birden fazla diploma eki alınabilir mi ?
886,ikinci kez diploma eki alınabilir mi ?,Diploma eki almıştım bi daha alabilir miyim ?
887,birden fazla diploma eki alınabilir mi ?,Diploma eki almıştım bi daha alabilir miyim ?
888,Hangi üniversitelerden yatay geçiş kabul ediyorsunuz ?,Her üniversiteden yatay geçiş kabul ediliyor mu ?
889,Hangi üniversitelerden yatay geçiş kabul ediyorsunuz ?,Yatay geçiş için hangi üniversiteden geldiğim farkediyor mu ?
890,Her üniversiteden yatay geçiş kabul ediliyor mu ?,Yatay geçiş için hangi üniversiteden geldiğim farkediyor mu ?
891,Üniversite eğitim dilim türkçe hazırlık okuma imkanım var mı ?,Türkçe bölüm okuyorum ingilizce hazırlık okuyabilir miyim ?
892,Üniversite eğitim dilim türkçe hazırlık okuma imkanım var mı ?,İngilizce zorunluluğum yok hazırlık okuyabilir miyim ?
893,Türkçe bölüm okuyorum ingilizce hazırlık okuyabilir miyim ?,İngilizce zorunluluğum yok hazırlık okuyabilir miyim ?
894,Yatay geçişte başvurum kabul olmasına rağmen kayıt yaptırmazsam ne olur ?,Yatay geçişte başvurum onaylanmasına rağmen kayıt olmazsam ne olur ?
895,Yatay geçişte başvurum kabul olmasına rağmen kayıt yaptırmazsam ne olur ?,Yatay geçiş için onay aldım ama kayıt olmadım bişey olur mu ?
896,Yatay geçişte başvurum onaylanmasına rağmen kayıt olmazsam ne olur ?,Yatay geçiş için onay aldım ama kayıt olmadım bişey olur mu ?
897,Irregular öğrenci olmam yatay geçiş yapmamı engeller mi ?,Düzensiz öğrenci olmam yatay geçişi engeller mi?
898,Irregular öğrenci olmam yatay geçiş yapmamı engeller mi ?,Irregular öğrenci olmak yatay geçişte fark yaratıyor mu ?
899,Düzensiz öğrenci olmam yatay geçişi engeller mi?,Irregular öğrenci olmak yatay geçişte fark yaratıyor mu ?
900,Yatay geçişte farklı puan türündeki bölümleri tercih edebilir miyim ?,Farklı puan türündeki bölüme yatay geçiş ile geçebilir miyim ?
901,Yatay geçişte farklı puan türündeki bölümleri tercih edebilir miyim ?,Farklı türde bölüme yatay geçiş yapabilir miyim ?
902,Farklı puan türündeki bölüme yatay geçiş ile geçebilir miyim ?,Farklı türde bölüme yatay geçiş yapabilir miyim ?
903,Yatay geçişten kabul olma durumumda kaçıncı sınıftan başlayacağım ? ,Yatay geçiş ile kaçıncı sınıftan başlarım ?
904,Yatay geçişten kabul olma durumumda kaçıncı sınıftan başlayacağım ? ,yatay geçiş ile kaçıncı dönemde başlarım?
905,Yatay geçiş ile kaçıncı sınıftan başlarım ?,yatay geçiş ile kaçıncı dönemde başlarım?
906,Geçmiş yıllarda yatay geçişle kabul edilmiş öğrencilerin puanlarını görebilir miyim ?,Yatay geçişle kabul edilmiş eski öğrencilerin puanlarını  görebilir miyim ?
907,Geçmiş yıllarda yatay geçişle kabul edilmiş öğrencilerin puanlarını görebilir miyim ?,Yatay geçiş ile gelmiş eski öğrencilerin notlarını görebilir miyim ?
908,Yatay geçişle kabul edilmiş eski öğrencilerin puanlarını  görebilir miyim ?,Yatay geçiş ile gelmiş eski öğrencilerin notlarını görebilir miyim ?
909,Yatay geçiş değerlendirmesinde not ortalamam mı daha öncemli yoksa üniversiteye giriş puanım mı?,Yatay geçişte Üniversiteye giriş puanımı daha önemli not ortalaması mı ?
910,Yatay geçiş değerlendirmesinde not ortalamam mı daha öncemli yoksa üniversiteye giriş puanım mı?,Yatay geçişte üniversiteye giriş puanımı önemli okul ortalaması mı daha önemli ?
911,Yatay geçişte Üniversiteye giriş puanımı daha önemli not ortalaması mı ?,Yatay geçişte üniversiteye giriş puanımı önemli okul ortalaması mı daha önemli ?
912,Merkezi yerleştirme puanıyla Yatay geçiş kapsamında başvuru yapmam halinde ingilizce yeterliliğimi belgelemem gerekiyor mu?,Yatay geçiş ile geldigimde ingilizce yeterliliğimi belgelemem gerekiyor mu ?
913,Merkezi yerleştirme puanıyla Yatay geçiş kapsamında başvuru yapmam halinde ingilizce yeterliliğimi belgelemem gerekiyor mu?,İngilizce yeterliliğimi yatay geçiş ile geldigimde belgelemem gerekiyor mu ?
914,Yatay geçiş ile geldigimde ingilizce yeterliliğimi belgelemem gerekiyor mu ?,İngilizce yeterliliğimi yatay geçiş ile geldigimde belgelemem gerekiyor mu ?
915,Çift anadal yandal başvurularında herhangi dersten çekilmem başvuru yapmama engel mi?,Dersten çekilmem çift anadal yandal başvurularımı etkiler mi ?
916,Çift anadal yandal başvurularında herhangi dersten çekilmem başvuru yapmama engel mi?,Aldıgım dersi bırakmam çift anadal yandal başvurumda olumsuz sonuç oluşturur mu ?
917,Dersten çekilmem çift anadal yandal başvurularımı etkiler mi ?,Aldıgım dersi bırakmam çift anadal yandal başvurumda olumsuz sonuç oluşturur mu ?
918,Şuan da bir yandal programına kayıtlıyım başka bir program için başvuru yapabilir miyim ?,Birden fazla yan dal başvurusu yapabilir miyim ?
919,Şuan da bir yandal programına kayıtlıyım başka bir program için başvuru yapabilir miyim ?,yandal başvurularında çoklu başvuru oluyor mu ?
920,Birden fazla yan dal başvurusu yapabilir miyim ?,yandal başvurularında çoklu başvuru oluyor mu ?
921,Yandal başvurusunda bulundum aynı zaman da erasmusa kabul edildim ne yapabilirim ?,Yandala başvurdum ve erasmusa gidiyorum ne yapabilirim ?
922,Yandal başvurusunda bulundum aynı zaman da erasmusa kabul edildim ne yapabilirim ?,Erasmusa gidiyorum ama yandala başvurmuştum ne yapabilirim ?
923,Yandala başvurdum ve erasmusa gidiyorum ne yapabilirim ?,Erasmusa gidiyorum ama yandala başvurmuştum ne yapabilirim ?
924,Aynı dönem içerinde yandal çift anadal yatay geçiş başvurusu yapabilir miyim ?,Aynı dönem içerisinde yandal çift anadal yatay geçiş yapabilir miyim ?
925,Aynı dönem içerinde yandal çift anadal yatay geçiş başvurusu yapabilir miyim ?,Aynı dönem de yandal çift anadal yatay geçiş yapılabilir mi ?
926,Aynı dönem içerisinde yandal çift anadal yatay geçiş yapabilir miyim ?,Aynı dönem de yandal çift anadal yatay geçiş yapılabilir mi ?
927,Aynı anda birden fazla bölüme kabul olmam halinde ne yapmam gerekiyor ?,Yatay geçişte aynı anda birden fazla bölüme kabul edilirsem ne yapmam gerekiyor ?
928,Aynı anda birden fazla bölüme kabul olmam halinde ne yapmam gerekiyor ?,Yatay geçiş ile aynı zamanda birden fazla bölüme alındım ne yapmam gerekiyor ?
929,Yatay geçişte aynı anda birden fazla bölüme kabul edilirsem ne yapmam gerekiyor ?,Yatay geçiş ile aynı zamanda birden fazla bölüme alındım ne yapmam gerekiyor ?
930,çift anadalımı yandal programına nasıl çevirebilirim ?,Çift anadal programımı yandal olarak değiştirebiliyor muyum ?
931,çift anadalımı yandal programına nasıl çevirebilirim ?,Çift anadal programımı yandal olarak değiştirmek istiyorum ne yapmam gerekiyor ?
932,Çift anadal programımı yandal olarak değiştirebiliyor muyum ?,Çift anadal programımı yandal olarak değiştirmek istiyorum ne yapmam gerekiyor ?
933,Erasmus gibi uluslararası programlar hakkında detaylı bilgiyi nasıl alabilrim ?,Erasmus hakkında bilgi alabilir miyim ?
934,Erasmus gibi uluslararası programlar hakkında detaylı bilgiyi nasıl alabilrim ?,Erasmus ile ilgili nereden bilgi alabilirim ?
935,Erasmus hakkında bilgi alabilir miyim ?,Erasmus ile ilgili nereden bilgi alabilirim ?
936,Erasmus gibi uluslararası programlardan sonra ders sayım işlemlerini nasıl yapabilirim ?,Erasmustan dönüşte nasıl ders saydırabilirim ?
937,Erasmus gibi uluslararası programlardan sonra ders sayım işlemlerini nasıl yapabilirim ?,Ders saydırma işlemi erasmustan sonra nasıl oluyor ?
938,Erasmustan dönüşte nasıl ders saydırabilirim ?,Ders saydırma işlemi erasmustan sonra nasıl oluyor ?
939,Burs başvuruları nasıl ve nereden yapılıyor ?,burs başvuruları hangi departmandan yapılıyor ?
940,Burs başvuruları nasıl ve nereden yapılıyor ?,Burs başvurusu yapmak istiyorum nereden yapılıyor ?
941,burs başvuruları hangi departmandan yapılıyor ?,Burs başvurusu yapmak istiyorum nereden yapılıyor ?
942,Burs başvuruları ne zaman yapılır ?,Burs başvuruları ne zaman başlıyor ?
943,Burs başvuruları ne zaman yapılır ?,Burs başvuru tarihleri ne zaman ?
944,Burs başvuruları ne zaman başlıyor ?,Burs başvuru tarihleri ne zaman ?
945,Ara sınıfta not ortalamasına göre başarı bursu var mı ?,Başarı  bursu ara dönemde veriliyor mu ?
946,Ara sınıfta not ortalamasına göre başarı bursu var mı ?,Başarı bursu ara dönemlerde veriliyor mu?
947,Başarı  bursu ara dönemde veriliyor mu ?,Başarı bursu ara dönemlerde veriliyor mu?
948,Burs ödemeleri ne zaman ve nereye yapılmaktadır ?,Burs ödemesi yapılıyor mu ?
949,Burs ödemeleri ne zaman ve nereye yapılmaktadır ?,burs ödeme imkanı var mı ?
950,Burs ödemesi yapılıyor mu ?,burs ödeme imkanı var mı ?
951,Mevcut bursların devamı için her yıl burs başvurusu yapmam gerekiyor mu ?,burslarım var her yıl yeniden başvurmam gerekiyor mu ?
952,Mevcut bursların devamı için her yıl burs başvurusu yapmam gerekiyor mu ?,Şuan burs alıyorum her yıl yenilemem gerekiyor mu ?
953,burslarım var her yıl yeniden başvurmam gerekiyor mu ?,Şuan burs alıyorum her yıl yenilemem gerekiyor mu ?
954,Hazırlık sınavı tekrarında bursum kesilir mi ?,Hazırlıktan başarısız olmam durumunda bursum kesilir mi ?
955,Hazırlık sınavı tekrarında bursum kesilir mi ?,İngilizce hazırlıktan kalırsam bursum kesilir mi ?
956,Hazırlıktan başarısız olmam durumunda bursum kesilir mi ?,İngilizce hazırlıktan kalırsam bursum kesilir mi ?
957,Bölüme birinci olarak giren öğrencilere burs imkanı var mı ?,Birinci olarak bölüme giren öğrencilere ek burs var mı ?
958,Bölüme birinci olarak giren öğrencilere burs imkanı var mı ?,Yüksek başarı ile gelen öğrencilere ek burs var mı ?
959,Birinci olarak bölüme giren öğrencilere ek burs var mı ?,Yüksek başarı ile gelen öğrencilere ek burs var mı ?
960,Yaz okulu notları bursun devamı için başarıyı etkiler mi ?,Yaz okulundaki notlarım bursumu etkiler mi?
961,Yaz okulu notları bursun devamı için başarıyı etkiler mi ?,Yaz okulu notları bursu etkiliyor mu ?
962,Yaz okulundaki notlarım bursumu etkiler mi?,Yaz okulu notları bursu etkiliyor mu ?
963,Okulunuzdan burs almaktayım tekrar burs almak için tekrar evrak hazırlamam gerekiyor mu ?,Burs almaktayım bi daha burs almak için evrak hazırlamam gerekiyor mu ?
964,Okulunuzdan burs almaktayım tekrar burs almak için tekrar evrak hazırlamam gerekiyor mu ?,Önceden burs almıştım bi daha başvururken evrak gerekiyor mu ?
965,Burs almaktayım bi daha burs almak için evrak hazırlamam gerekiyor mu ?,Önceden burs almıştım bi daha başvururken evrak gerekiyor mu ?
966,Burs sonuçlarını nereden öğrenebilirim ?,Bursa başvurdum nerenden sonucunu görebilirim ?
967,Burs sonuçlarını nereden öğrenebilirim ?,Burs sonuçları nereden açıklanıyor ?
968,Bursa başvurdum nerenden sonucunu görebilirim ?,Burs sonuçları nereden açıklanıyor ?
969,Askerlik tecil süresini kaçırdım ne yapmam gerekiyor ?,Askerliğimi erteleme süresini kaçırdım ne yapabilirim ?
970,Askerlik tecil süresini kaçırdım ne yapmam gerekiyor ?,Askerlik erteleme zamanını kaçırdım ne yapabilirim ?
971,Askerliğimi erteleme süresini kaçırdım ne yapabilirim ?,Askerlik erteleme zamanını kaçırdım ne yapabilirim ?
972,Askere gitmek istiyorum izin almak için ne yapmam gerekiyor ?,Askere gitmek için izin almak gerekiyor mu ?
973,Askere gitmek istiyorum izin almak için ne yapmam gerekiyor ?,Askere gitmek istiyorum izin gerekli mi ?
974,Askere gitmek için izin almak gerekiyor mu ?,Askere gitmek istiyorum izin gerekli mi ?
975,Tecilimi iptal ettirmek istiyorum ne yapmam gerekiyor ?,tecilimi nasıl iptal ettirebilirim ?
976,Tecilimi iptal ettirmek istiyorum ne yapmam gerekiyor ?,Tecil iptali nasıl oluyor ?
977,tecilimi nasıl iptal ettirebilirim ?,Tecil iptali nasıl oluyor ?
978,Tecil için hangi evraklar gerekli?,Hangi evraklar tecil için gereklidir ?
979,Tecil için hangi evraklar gerekli?,tecil için gerekli evraklar nelerdir ?
980,Hangi evraklar tecil için gereklidir ?,tecil için gerekli evraklar nelerdir ?
981,Kayıt yaptırırken tecil için evrak vermiştim yeterli mi ?,Kayıt yaptırırken tecil için belgeler vermiştim yeterli mi ?
982,Kayıt yaptırırken tecil için evrak vermiştim yeterli mi ?,Tecil için gerekli evrakları kayıt yaptırırken vermiştim yeterli mi?
983,Kayıt yaptırırken tecil için belgeler vermiştim yeterli mi ?,Tecil için gerekli evrakları kayıt yaptırırken vermiştim yeterli mi?
984,Tecilimin yapıldıgını ne zaman ve nereden takip edebilirim ?,Tecil işlemlerini nereden görebilirim ?
985,Tecilimin yapıldıgını ne zaman ve nereden takip edebilirim ?,Tecil işlemlerini nereden takip edebilirim ?
986,Tecil işlemlerini nereden görebilirim ?,Tecil işlemlerini nereden takip edebilirim ?
987,Askerlik şubesinden bakaya kaldığım belirtildi neden ?,Bakaya kaldım neden ?
988,Askerlik şubesinden bakaya kaldığım belirtildi neden ?,Bakaya neden kalınır?
989,Bakaya kaldım neden ?,Bakaya neden kalınır?
990,Lisansüstü programına kayıt yaptırdıktan sonra tecil yaptırmıştım kayıtlı değişim ama tecilim iptal edilmiş neden ?,Lisans üstüne kayıttan sonra tecil yaptırdım tecilim iptal edilmiş neden ?
991,Lisansüstü programına kayıt yaptırdıktan sonra tecil yaptırmıştım kayıtlı değişim ama tecilim iptal edilmiş neden ?,Lisansüstüne kayıttan sonra tecil yaptırdım tecilim iptal edildi neden?
992,Lisans üstüne kayıttan sonra tecil yaptırdım tecilim iptal edilmiş neden ?,Lisansüstüne kayıttan sonra tecil yaptırdım tecilim iptal edildi neden?
993,Okulunuzda her yıl konser veriliyor mu ?,Okulun konserleri hakkında bilgi alabilir miyim ?
994,Okulunuzda her yıl konser veriliyor mu ?,Okulun verdiği konserleri nereden görebilirim ?
995,Okulun konserleri hakkında bilgi alabilir miyim ?,Okulun verdiği konserleri nereden görebilirim ?
996,Dil dersleri hangi kampüste verilmektedir ?,Dil dersleri nerede oluyor ?
997,Dil dersleri hangi kampüste verilmektedir ?,Yabancı dil dersleri hangi kampüste oluyor ?
998,Dil dersleri nerede oluyor ?,Yabancı dil dersleri hangi kampüste oluyor ?
999,Üniversite ücreti ödeme yöntemleri nelerdir ?,Eğitim ücretini nasıl ödeyebilirim ?
1000,Üniversite ücreti ödeme yöntemleri nelerdir ?,Eğitim ödemelerini nereden yapabilirim ?
1001,Eğitim ücretini nasıl ödeyebilirim ?,Eğitim ödemelerini nereden yapabilirim ?
1002,Üniversite mail adresimi nasıl alacağım ?,Okul mailimi nasıl alabilirim ?
1003,Üniversite mail adresimi nasıl alacağım ?,Okul mail adresimi nereden alabilirim ?
1004,Okul mailimi nasıl alabilirim ?,Okul mail adresimi nereden alabilirim ?
1005,Öğrenci kartımı nereden alabilirim ?,Öğrenci kartımı nasıl alabilirim ?
1006,Öğrenci kartımı nereden alabilirim ?,Öğrenci kartımı nereden alırım?
1007,Öğrenci kartımı nasıl alabilirim ?,Öğrenci kartımı nereden alırım?
1008,Muhasebe hangi binada bulunuyor ?,Muhasebe nerede ?
1009,Muhasebe hangi binada bulunuyor ?,Muhasebe nerede bulunuyor ?
1010,Muhasebe nerede ?,Muhasebe nerede bulunuyor ?
1011,Staj destek birimi hangi binada bulunuyor ?,Staj destek birimi nerede ?
1012,Staj destek birimi hangi binada bulunuyor ?,Staj destek birine nasıl gidebilirim ?
1013,Staj destek birimi nerede ?,Staj destek birine nasıl gidebilirim ?
1014,Kariyer merkezi nerede ?,Kariyer merkezi nerede ?
1015,Kariyer merkezi nerede ?,Kariyer merkezine nasıl gidebilirim ?
1016,Kariyer merkezi nerede ?,Kariyer merkezine nasıl gidebilirim ?
1017,Mühendislik fakültesi nerede ?,Mühendislik fakültesi nerede ?
1018,Mühendislik fakültesi nerede ?,Mühendislik fakültesine nasıl gidebilirim?
1019,Mühendislik fakültesi nerede ?,Mühendislik fakültesine nasıl gidebilirim?
1020,İletişim fakültesi nerede ?,İletişim fakültesi nerede ?
1021,İletişim fakültesi nerede ?,İletişim fakültesine nasıl gidebilirim ?
1022,İletişim fakültesi nerede ?,İletişim fakültesine nasıl gidebilirim ?
1023,Öğrenci destek merkezi nerede ?,Öğrenci destek merkezi nerede ?
1024,Öğrenci destek merkezi nerede ?,Öğrenci destek merkezine nasıl gidebilirim ?
1025,Öğrenci destek merkezi nerede ?,Öğrenci destek merkezine nasıl gidebilirim ?
1026,Akademisyenlerin rehberini nereden bulabilirim ?,Öğretmenlerin rehberini nereden bulabilirim ?
1027,Akademisyenlerin rehberini nereden bulabilirim ?,Akademisyenlerin iletişim adreslerini nereden bulabilirim ?
1028,Öğretmenlerin rehberini nereden bulabilirim ?,Akademisyenlerin iletişim adreslerini nereden bulabilirim ?
1029,Bilginin önceki etkinliklerini nereden görebilirim ?,Üniversite etkinliklerini nereden takip edebilirim ?
1030,Bilginin önceki etkinliklerini nereden görebilirim ?,Üniversite etkinliklerini nereden bulabilirim?
1031,Üniversite etkinliklerini nereden takip edebilirim ?,Üniversite etkinliklerini nereden bulabilirim?
1032,Üniversitenin sosyal medya hesapları var mı ?,bilginin instagram hesabı var mı ?
1033,Üniversitenin sosyal medya hesapları var mı ?,Bilginin instagram hesabı var mı ?
1034,bilginin instagram hesabı var mı ?,Bilginin instagram hesabı var mı ?
